,casos_2211308,p_rt1_2211308,p_inc100k_2211308,temp_min_2211308,temp_max_2211308,umid_min_2211308,umid_max_2211308,pressao_min_2211308,pressao_max_2211308,precip_tot_2211308,casos_2211001,p_rt1_2211001,p_inc100k_2211001,temp_min_2211001,temp_max_2211001,umid_min_2211001,umid_max_2211001,pressao_min_2211001,pressao_max_2211001,precip_tot_2211001,temp_mean_2211001,temp_amp_2211001,umid_mean_2211001,umid_amp_2211001,pressao_mean_2211001,temp_mean_2211308,temp_amp_2211308,umid_mean_2211308,umid_amp_2211308,pressao_mean_2211308
2021-04-25,0,0.5,0.0,22.415671285714286,29.812016,64.14564828571429,95.25909357142858,0.9967686214285714,1.0016551142857142,1.7182300085714286,19,0.773561,2.188751,23.238438285714288,30.022020571428573,71.05357314285715,97.06787285714286,0.9964592157142856,1.0011306857142857,7.880758579999999,26.630229428571432,6.783582285714285,84.060723,26.014299714285713,0.0023357350000000054,26.11384364285714,7.396344714285714,79.70237092857144,31.113445285714292,0.0024432464285714106
2021-05-02,0,0.5,0.0,22.851078714285713,31.29207057142857,52.90619514285714,86.77822442857143,0.9966420657142857,1.0011171957142857,0.5527342856999999,23,0.78421086,2.6495407,23.660919142857143,31.203765999999998,63.222858714285714,95.63680571428571,0.9962053871428571,1.0002400285714286,0.4835542864285714,27.43234257142857,7.542846857142855,79.42983221428571,32.413947,0.002017320714285731,27.071574642857144,8.440991857142858,69.84220978571429,33.87202928571429,0.002237564999999997
2021-05-09,0,0.5,0.0,22.842878142857142,31.140664285714283,52.71461142857142,85.98988057142857,0.99801685,1.0027267857142859,0.29251,20,0.50512975,2.3039484,23.16171685714286,30.350411428571427,67.85375571428571,96.570049,0.9976881142857142,1.0020661285714285,1.7958970728571428,26.75606414285714,7.188694571428567,82.21190235714286,28.716293285714286,0.0021890071428571356,26.991771214285713,8.297786142857142,69.352246,33.27526914285715,0.0023549678571429533
2021-05-16,0,0.5,0.0,22.89886914285714,31.640241,47.390578000000005,78.84606714285714,0.9976370571428571,1.001679542857143,0.1447028571428571,21,0.50659937,2.4191458,23.138384285714288,31.391575142857143,59.43144528571429,93.07926371428572,0.9972754985714286,1.0008404671428572,0.8682357145714287,27.264979714285715,8.253190857142854,76.25535450000001,33.647818428571426,0.0017824842857143142,27.26955507142857,8.741371857142859,63.11832257142857,31.455489142857132,0.0020212428571429464
2021-05-23,0,0.5,0.0,23.053889857142856,33.51200228571428,40.966219714285714,77.28444214285715,0.9971074385714286,1.0017746714285714,0.004705714571428572,14,0.13064805,1.6127639,23.65961557142857,32.707933857142855,53.387303857142854,92.39561714285715,0.9969798971428572,1.0010279857142856,0.018400000285714285,28.18377471428571,9.048318285714284,72.8914605,39.008313285714294,0.0020240442857142327,28.28294607142857,10.458112428571425,59.12533092857143,36.31822242857143,0.0023336164285713834
2021-05-30,0,0.5,0.0,21.71824414285714,33.74676971428572,36.434999285714284,69.52514714285715,0.9968515371428571,1.0018513428571427,0.0,29,0.91631055,3.3407252,22.684735999999997,33.74862228571429,43.94650357142857,89.16917285714285,0.9965809528571429,1.0008456428571428,0.0021714284285714288,28.216679142857146,11.063886285714293,66.55783821428571,45.22266928571428,0.00213234499999998,27.732506928571432,12.028525571428577,52.98007321428572,33.09014785714287,0.0024999028571427995
2021-06-06,0,0.5,0.0,23.006556857142858,33.656751285714286,37.933639285714285,73.54208542857143,0.99728534,1.0019817142857144,0.0011157142857142856,27,0.83657306,3.1103303,23.251434285714286,33.32724,47.07717814285714,90.77451571428571,0.9972071414285715,1.00125402,0.055031428571428564,28.289337142857143,10.075805714285718,68.92584692857143,43.69733757142857,0.002023439285714246,28.331654071428574,10.650194428571428,55.73786235714286,35.60844614285714,0.002348187142857172
2021-06-13,0,0.5,0.0,24.034310285714287,34.50123371428571,32.48358342857143,64.46380557142857,0.9962430600000001,1.0014211142857143,0.012652856857142857,41,0.97736645,4.723094,23.663936142857146,31.886601142857142,57.277170857142856,94.86258285714287,0.99655699,1.0007694628571429,0.6444099885714286,27.775268642857142,8.222664999999996,76.06987685714286,37.58541200000001,0.0021062364285714397,29.267772,10.466923428571423,48.47369449999999,31.980222142857137,0.0025890271428571365
2021-06-20,0,0.5,0.0,23.95070542857143,34.144723285714285,32.284808142857145,56.881575285714284,0.99874887,1.0037620142857142,7.285714285714286e-05,50,0.98209935,5.759871,22.96475642857143,32.985766,46.094655571428575,94.60040571428571,0.9986193157142857,1.0029189142857142,0.09114714358571428,27.975261214285716,10.021009571428568,70.34753064285715,48.50575014285714,0.002149799285714238,29.04771435714286,10.194017857142857,44.58319171428572,24.59676714285714,0.0025065721428570997
2021-06-27,0,0.5,0.0,22.85829814285714,33.197279,36.23063942857143,66.152929,0.99835385,1.0030398428571428,0.005932857071428571,49,0.851349,5.6446733,22.854344,33.100416,44.239269,89.37770871428572,0.9980645542857143,1.0024736714285714,0.07194285757142858,27.977380000000004,10.246072000000002,66.80848885714286,45.13843971428572,0.0022045585714285387,28.027788571428573,10.338980857142861,51.19178421428572,29.92228957142857,0.0023429964285713867
2021-07-04,0,0.5,0.0,22.840432285714286,33.19846471428571,34.84261,66.94740785714285,0.9996587100000001,1.004264657142857,0.10735857142857143,63,0.94105387,7.257437,22.532453285714286,32.17671,49.13484657142857,86.44867871428572,0.9993638271428572,1.0034079857142857,0.5506628564285714,27.35458164285714,9.644256714285714,67.79176264285715,37.31383214285715,0.00202207928571424,28.0194485,10.358032428571427,50.89500892857143,32.10479785714285,0.0023029735714285016
2021-07-11,0,0.5,0.0,22.008832714285713,33.54139042857143,34.06517442857143,73.70482,0.9988440457142858,1.003530842857143,0.0034971427142857143,69,0.92788136,7.9486217,22.78990842857143,33.015184714285716,42.83836785714286,83.51351485714285,0.9985376785714285,1.0026957285714286,0.011535715142857143,27.902546571428573,10.225276285714287,63.17594135714286,40.67514699999999,0.0020790250000000676,27.775111571428575,11.53255771428572,53.88499721428572,39.63964557142857,0.002343398571428623
2021-07-18,0,0.5,0.0,22.54902871428572,34.00215828571429,31.823242571428572,68.841145,0.9985043957142857,1.0034188142857143,6.714285714285714e-05,41,0.036510453,4.723094,22.780923142857144,33.59920357142857,42.42262214285714,81.76855214285715,0.9981139942857142,1.0024395142857143,0.383394257,28.190063357142854,10.818280428571423,62.09558714285714,39.34593,0.0021627600000000413,28.275593500000003,11.453129571428569,50.33219378571428,37.017902428571425,0.0024572092857143013
2021-07-25,0,0.5,0.0,22.888419285714285,34.473449714285714,26.38765642857143,62.68701728571428,0.9992416857142857,1.0047361857142858,0.006708571428571429,104,0.99960965,11.980532,22.384687000000003,33.553018,39.86114271428571,82.70582157142857,0.9989070728571429,1.0037674714285714,0.07533857028571429,27.968852500000004,11.168330999999998,61.28348214285714,42.84467885714286,0.002430199285714252,28.6809345,11.585030428571429,44.537336857142854,36.29936085714286,0.0027472500000000344
2021-08-01,0,0.5,0.0,23.49876642857143,34.22992371428571,30.11091314285714,64.11459542857143,0.99928318,1.0041368285714285,0.007327142857142858,182,0.99691707,20.96593,22.471396571428574,33.26640557142857,44.334705285714286,83.80344357142857,0.998987472857143,1.0033061857142858,0.06450571342857143,27.868901071428574,10.795008999999997,64.06907442857143,39.46873828571429,0.0021593564285714018,28.86434507142857,10.731157285714282,47.11275428571429,34.00368228571429,0.002426824285714224
2021-08-08,0,0.5,0.0,21.222185285714286,33.932050714285715,26.38907071428571,66.75391514285714,1.0002465285714286,1.0057967857142858,0.0,144,0.1429387,16.588428,21.752118857142857,33.754507714285715,35.45571171428571,69.34633814285715,0.9998912428571429,1.004756842857143,0.0,27.753313285714285,12.002388857142858,52.40102492857143,33.89062642857144,0.0024328000000000127,27.577118,12.70986542857143,46.57149292857142,40.36484442857143,0.0027751285714285867
2021-08-15,0,0.5,0.0,23.334808285714285,35.36642928571429,26.033608428571426,56.45950428571428,0.9981634371428572,1.0035344428571429,0.0,104,4.2568103e-05,11.980532,23.17651371428571,35.56504171428571,34.16912957142857,76.41061871428572,0.9975100457142857,1.0025624,0.020968571428571427,29.370777714285712,12.388528,55.289874142857144,42.24148914285715,0.0025261771428571334,29.35061878571429,12.031621000000005,41.24655635714285,30.425895857142855,0.002685502857142863
2021-08-22,0,0.5,0.0,22.47037171428571,34.56894785714286,24.371076999999996,65.22215371428571,0.9970635528571429,1.0028640142857144,0.0,84,4.174271e-05,9.676583,22.68172357142857,35.12004328571429,32.33391942857143,70.81524471428571,0.9965314571428571,1.0016686571428572,0.010565714142857143,28.90088342857143,12.438319714285718,51.574582071428566,38.481325285714284,0.0025686000000000875,28.519659785714286,12.098576142857148,44.796615357142855,40.85107671428571,0.0029002307142857453
2021-08-29,0,0.5,0.0,24.532305285714283,36.01395014285714,23.483878285714287,56.542278,0.99510584,1.0008729714285713,0.0,38,8.1769924e-10,4.377502,24.187487,36.578556285714285,30.360694,72.60837942857142,0.9945188814285714,0.9997629828571429,0.02594,30.383021642857145,12.391069285714284,51.48453671428571,42.24768542857143,0.002622050714285784,30.273127714285714,11.481644857142857,40.01307814285715,33.05839971428571,0.002883565714285663
2021-09-05,0,0.5,0.0,25.173897857142858,36.01174942857143,24.08913957142857,54.21796285714286,0.9959179,1.0018839428571429,0.00014142857142857143,40,0.0001632922,4.607897,23.729557285714286,36.347076,32.36626257142857,82.4374142857143,0.9955906157142858,1.0010388428571428,0.05597428571428572,30.038316642857144,12.617518714285715,57.40183842857144,50.071151714285726,0.0027241135714285436,30.59282364285714,10.837851571428569,39.15355121428571,30.128823285714287,0.0029830214285714307
